threshold_scale,n_datasets_total,n_datasets_with_seizures,n_responders_pre,n_non_responders_pre,responder_ratio_pre,mean_recall_before_seizures,std_recall_before_seizures,mean_far_before_all,std_far_before_all,mean_recall_before_resp,std_recall_before_resp,mean_far_before_resp,std_far_before_resp,mean_recall_before_nonresp,std_recall_before_nonresp,mean_far_before_nonresp,std_far_before_nonresp,n_responders_post,n_non_responders_post,responder_ratio_post,responder_change,mean_recall_after_all,std_recall_after_all,mean_far_after_all,std_far_after_all,mean_recall_after_resp,std_recall_after_resp,mean_far_after_resp,std_far_after_resp,mean_recall_after_nonresp,std_recall_after_nonresp,mean_far_after_nonresp,std_far_after_nonresp,mean_recall_change,mean_far_reduction,n_clustered
0.8,96,92,3,89,0.03260869565217391,0.057684809152200464,0.19091890869520767,0.6162392467331381,0.35360354491187485,1.0,0.0,1.0486400666463316,0.3388018703434879,0.025921375752836425,0.08000606854368632,0.6046336037814874,0.3536198417849009,3.0,88.0,0.03296703296703297,0.0,0.06131772905457116,0.19340811315055992,0.5146057509848847,0.2498322448631562,1.0,0.0,0.8060385096178009,0.2079141682874378,0.032104366593002955,0.09485112065749028,0.5044045496360782,0.2505674039739632,0.005454545454545455,0.10812022466123371,95.0
0.85,96,92,1,91,0.010869565217391304,0.010869565217391304,0.10425720702853736,0.012440321912519273,0.04307539357729758,1.0,,0.030218073765675625,,0.0,0.0,0.012791789338859064,0.044136803672168705,1.0,27.0,0.03571428571428571,0.0,0.03571428571428571,0.18898223650461365,0.023382517676561996,0.022180793018135827,1.0,,0.030218073765675625,,0.0,0.0,0.023129348932520753,0.022562059076845747,0.0,0.019270014594932657,28.0
0.9,96,92,0,92,0.0,0.0,0.0,0.0005961319916293622,0.0040903550416792785,,,,,0.0,0.0,0.0006220507738741172,0.004177335653046283,0.0,3.0,0.0,0.0,0.0,0.0,0.015811237445082,0.017113619002015402,,,,,0.0,0.0,0.015811237445082,0.017113619002015402,0.0,0.0032649862870575944,3.0
0.95,96,92,0,92,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1.0,96,92,0,92,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1.05,96,92,0,92,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1.1,96,92,0,92,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1.15,96,92,0,92,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1.2,96,92,0,92,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1.25,96,92,0,92,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
