threshold,clustering_strategy,dataset,sensitivity,false_alarms_per_hour,challenge_score,total_detections_before_clustering,total_detections_after_clustering,total_true_positives,total_false_positives,total_seizures,detected_seizures,files_processed,files_skipped,total_duration_hours,anomaly_reduction,num_responders,responder_rate,responder_sensitivity,responder_fad,non_responder_sensitivity,non_responder_fad
0.5846576330344591,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.6995868634561615,15.444634844433658,459240,14550,114,14436,707,114,2042,753,8493.82888888889,0.9683172197543768,0,0.0,None,None,0.16124469589816123,1.6982330626537252
0.5866583456197485,time_600s,TRAINING_SET (sub001-sub096),0.16265912305516267,1.6968790151699678,15.58716069944828,454027,14528,115,14413,707,115,2042,753,8493.82888888889,0.9680019029705282,0,0.0,None,None,0.16265912305516267,1.6958325635899698
0.5885287663316798,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.694877562088868,15.446518564980575,448815,14510,114,14396,707,114,2042,753,8493.82888888889,0.9676704209975157,0,0.0,None,None,0.16124469589816123,1.6940321892921533
0.5903024618097699,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.6952307596914151,15.446377285939557,443602,14513,114,14399,707,114,2042,753,8493.82888888889,0.9672837363221988,0,0.0,None,None,0.16124469589816123,1.6945122891049045
0.5919581932879165,time_600s,TRAINING_SET (sub001-sub096),0.15983026874115983,1.6912278535292158,15.306535732704296,438389,14478,113,14365,707,113,2042,753,8493.82888888889,0.9669745363136393,0,0.0,None,None,0.15983026874115983,1.6907915155560835
0.5934785832589263,time_600s,TRAINING_SET (sub001-sub096),0.15983026874115983,1.6881668076404752,15.307760151059792,433176,14452,113,14339,707,113,2042,753,8493.82888888889,0.9666371174764992,0,0.0,None,None,0.15983026874115983,1.688030941632765
0.5949808731267077,time_600s,TRAINING_SET (sub001-sub096),0.16124469589816123,1.6856944244226462,15.450191820047063,427964,14432,114,14318,707,114,2042,753,8493.82888888889,0.9662775373629557,0,0.0,None,None,0.16124469589816123,1.6853903926626341
0.5963657562812567,time_600s,TRAINING_SET (sub001-sub096),0.16265912305516267,1.6801609953160765,15.593847907389836,422751,14386,115,14271,707,115,2042,753,8493.82888888889,0.9659705121927565,0,0.0,None,None,0.16265912305516267,1.6798692448159969
0.5977063538811728,time_600s,TRAINING_SET (sub001-sub096),0.16407355021216408,1.6740389035385952,15.737739459800968,417538,14335,116,14219,707,116,2042,753,8493.82888888889,0.9656677955060378,0,0.0,None,None,0.16407355021216408,1.673507922297045
0.5989815908411301,time_600s,TRAINING_SET (sub001-sub096),0.16265912305516267,1.6726261131284073,15.596861860264903,412325,14322,115,14207,707,115,2042,753,8493.82888888889,0.9652652640514158,0,0.0,None,None,0.16265912305516267,1.6720676228587918
0.6001577170852338,time_600s,TRAINING_SET (sub001-sub096),0.16407355021216408,1.6685054744320256,15.739952831443597,407113,14288,116,14172,707,116,2042,753,8493.82888888889,0.9649040929668176,0,0.0,None,None,0.16407355021216408,1.66786674949722
0.6013020100058022,time_600s,TRAINING_SET (sub001-sub096),0.16548797736916548,1.6659153586800142,15.882431593444542,401900,14267,117,14150,707,117,2042,753,8493.82888888889,0.9645011196815129,0,0.0,None,None,0.16548797736916548,1.6655862753866524
0.6024281964884793,time_600s,TRAINING_SET (sub001-sub096),0.16973125884016974,1.6617947199836325,16.30840799602352,396687,14235,120,14115,707,120,2042,753,8493.82888888889,0.9641152848467431,0,0.0,None,None,0.16973125884016974,1.6615054269782683
0.6034592382168202,time_600s,TRAINING_SET (sub001-sub096),0.17114568599717114,1.6575563487530685,16.451546060215886,391474,14200,121,14079,707,121,2042,753,8493.82888888889,0.9637268375422122,0,0.0,None,None,0.17114568599717114,1.6574245785698842
0.6044771526204021,time_600s,TRAINING_SET (sub001-sub096),0.17256011315417255,1.651434256975587,16.59543761262702,386261,14149,122,14027,707,122,2042,753,8493.82888888889,0.963369327993248,0,0.0,None,None,0.17256011315417255,1.6515433558636836
0.605445114835241,time_600s,TRAINING_SET (sub001-sub096),0.17114568599717114,1.6440171073221002,16.456961756788274,381049,14085,121,13964,707,121,2042,753,8493.82888888889,0.9630362499311113,0,0.0,None,None,0.17114568599717114,1.6439817838128543
0.6063843900095593,time_600s,TRAINING_SET (sub001-sub096),0.16973125884016974,1.6398964686257185,16.317167296566687,375836,14049,120,13929,707,120,2042,753,8493.82888888889,0.9626193339648145,0,0.0,None,None,0.16973125884016974,1.63990093540447
0.607308878541937,time_600s,TRAINING_SET (sub001-sub096),0.16973125884016974,1.63542263232679,16.318956831086258,370623,14011,120,13891,707,120,2042,753,8493.82888888889,0.9621960860497055,0,0.0,None,None,0.16973125884016974,1.635339987183335
0.6082086969616519,time_600s,TRAINING_SET (sub001-sub096),0.16831683168316833,1.6270636223998443,16.180857719356894,365410,13939,119,13820,707,119,2042,753,8493.82888888889,0.9618538080512301,0,0.0,None,None,0.16831683168316833,1.6271782903665668
0.6090764922858197,time_600s,TRAINING_SET (sub001-sub096),0.16548797736916548,1.6188223450070809,15.901268798913716,360198,13867,117,13750,707,117,2042,753,8493.82888888889,0.9615017296042732,0,0.0,None,None,0.16548797736916548,1.6193766684093618
0.6099356322572185,time_600s,TRAINING_SET (sub001-sub096),0.16548797736916548,1.6148194388448815,15.902869961378595,354985,13833,117,13716,707,117,2042,753,8493.82888888889,0.9610321562882939,0,0.0,None,None,0.16548797736916548,1.6160159697201044
0.6107744707584946,time_600s,TRAINING_SET (sub001-sub096),0.16548797736916548,1.6069313590546652,15.906025193294681,349772,13767,118,13649,707,117,2042,753,8493.82888888889,0.9606400741054173,0,0.0,None,None,0.16548797736916548,1.607974297856524
0.6115831981102134,time_600s,TRAINING_SET (sub001-sub096),0.1669024045261669,1.6023397902215541,16.049304536528066,344559,13729,119,13610,707,118,2042,753,8493.82888888889,0.9601548646240556,0,0.0,None,None,0.1669024045261669,1.6041334993545153
0.6124064158133681,time_600s,TRAINING_SET (sub001-sub096),0.16407355021216408,1.5949226405680672,15.76938596498918,339347,13664,117,13547,707,116,2042,753,8493.82888888889,0.9597344311280194,0,0.0,None,None,0.16407355021216408,1.596571927303686
0.6132016552454792,time_600s,TRAINING_SET (sub001-sub096),0.16548797736916548,1.584208979957475,15.915114144933558,334134,13574,118,13456,707,117,2042,753,8493.82888888889,0.959375579857183,0,0.0,None,None,0.16548797736916548,1.586249781329538
0.6139642806723244,time_600s,TRAINING_SET (sub001-sub096),0.16407355021216408,1.5769095628381702,15.776591196081139,328921,13511,117,13394,707,116,2042,753,8493.82888888889,0.9589232672891059,0,0.0,None,None,0.16407355021216408,1.5785681843255208
0.6147297947044095,time_600s,TRAINING_SET (sub001-sub096),0.16548797736916548,1.5692569481163186,15.92109495767002,323708,13447,118,13329,707,117,2042,753,8493.82888888889,0.9584594758238907,0,0.0,None,None,0.16548797736916548,1.5711266372278792
0.6154770449158734,time_600s,TRAINING_SET (sub001-sub096),0.16407355021216408,1.563370321407202,15.782006892653527,318496,13396,117,13279,707,116,2042,753,8493.82888888889,0.9579398171405606,0,0.0,None,None,0.16407355021216408,1.5653654394748664
0.6162031823118576,time_600s,TRAINING_SET (sub001-sub096),0.16265912305516267,1.5535985210700682,15.644472897088239,313283,13312,116,13196,707,115,2042,753,8493.82888888889,0.957508067785357,0,0.0,None,None,0.16265912305516267,1.5556434182666572
0.6169202769869544,time_600s,TRAINING_SET (sub001-sub096),0.16407355021216408,1.5459459063482166,15.78897665867712,308070,13248,117,13131,707,116,2042,753,8493.82888888889,0.9569967864446393,0,0.0,None,None,0.16407355021216408,1.5476017464030767
0.6176319128606471,time_600s,TRAINING_SET (sub001-sub096),0.16548797736916548,1.537233698818724,15.933904257389058,302857,13175,118,13057,707,117,2042,753,8493.82888888889,0.9564976209894439,0,0.0,None,None,0.16548797736916548,1.539199999679933
0.618320400511923,time_600s,TRAINING_SET (sub001-sub096),0.1669024045261669,1.5267555032764963,16.07953825130609,297645,13087,119,12968,707,118,2042,753,8493.82888888889,0.9560315140519746,0,0.0,None,None,0.1669024045261669,1.5291179036121605
0.6190082424936337,time_600s,TRAINING_SET (sub001-sub096),0.16831683168316833,1.5166305053368156,16.225030966182107,292432,13002,120,12882,707,119,2042,753,8493.82888888889,0.9555383815724682,0,0.0,None,None,0.16831683168316833,1.5189157825912003
